# x 	 y
0 	 -0.595848
1 	 -0.269158
2 	 -0.060525
3 	 -0.822356
4 	 -0.272415
5 	 -0.571594
6 	 -0.934286
7 	 0.357827
8 	 -0.658973
9 	 0.667274
10 	 0.892928
11 	 -0.659076
12 	 -0.33913
13 	 -0.366083
14 	 0.976385
15 	 0.145578
16 	 -0.295671
17 	 0.969599
18 	 -0.442581
19 	 0.0853633


#Cubic sub-spline
# x 	 ySub 	 yCubic 	 yQuad
0 	 -0.595848 	 -0.595848 	 -0.595848
0.05 	 -0.60965 	 -0.582838 	 -0.511757
0.1 	 -0.615822 	 -0.569778 	 -0.434799
0.15 	 -0.615107 	 -0.556618 	 -0.364972
0.2 	 -0.608247 	 -0.543309 	 -0.302278
0.25 	 -0.595986 	 -0.529799 	 -0.246717
0.3 	 -0.579066 	 -0.516039 	 -0.198287
0.35 	 -0.558231 	 -0.50198 	 -0.15699
0.4 	 -0.534224 	 -0.48757 	 -0.122825
0.45 	 -0.507787 	 -0.47276 	 -0.0957921
0.5 	 -0.479665 	 -0.457501 	 -0.0758915
0.55 	 -0.450599 	 -0.441741 	 -0.0631231
0.6 	 -0.421332 	 -0.425432 	 -0.057487
0.65 	 -0.392609 	 -0.408522 	 -0.0589831
0.7 	 -0.365171 	 -0.390963 	 -0.0676114
0.75 	 -0.339763 	 -0.372704 	 -0.0833719
0.8 	 -0.317126 	 -0.353694 	 -0.106265
0.85 	 -0.298004 	 -0.333885 	 -0.13629
0.9 	 -0.28314 	 -0.313226 	 -0.173447
0.95 	 -0.273277 	 -0.291667 	 -0.217736
1 	 -0.269158 	 -0.269158 	 -0.269158
1.05 	 -0.265807 	 -0.245714 	 -0.320875
1.1 	 -0.258149 	 -0.221608 	 -0.36605
1.15 	 -0.246778 	 -0.19718 	 -0.404683
1.2 	 -0.232286 	 -0.172767 	 -0.436774
1.25 	 -0.215268 	 -0.148709 	 -0.462323
1.3 	 -0.196318 	 -0.125343 	 -0.48133
1.35 	 -0.176028 	 -0.103008 	 -0.493795
1.4 	 -0.154993 	 -0.0820433 	 -0.499718
1.45 	 -0.133806 	 -0.0627866 	 -0.499099
1.5 	 -0.113062 	 -0.0455767 	 -0.491939
1.55 	 -0.0933527 	 -0.0307521 	 -0.478236
1.6 	 -0.0752729 	 -0.0186513 	 -0.457992
1.65 	 -0.059416 	 -0.00961287 	 -0.431205
1.7 	 -0.0463756 	 -0.00397529 	 -0.397877
1.75 	 -0.0367454 	 -0.00207708 	 -0.358006
1.8 	 -0.0311191 	 -0.00425678 	 -0.311594
1.85 	 -0.0300902 	 -0.0108529 	 -0.25864
1.9 	 -0.0342525 	 -0.022204 	 -0.199143
1.95 	 -0.0441995 	 -0.0386485 	 -0.133105
2 	 -0.060525 	 -0.060525 	 -0.060525
2.05 	 -0.0841729 	 -0.0880048 	 0.00962895
2.1 	 -0.115056 	 -0.12059 	 0.0683886
2.15 	 -0.152223 	 -0.157617 	 0.115754
2.2 	 -0.19472 	 -0.198419 	 0.151725
2.25 	 -0.241594 	 -0.242333 	 0.176302
2.3 	 -0.291895 	 -0.288694 	 0.189485
2.35 	 -0.344668 	 -0.336836 	 0.191273
2.4 	 -0.398961 	 -0.386096 	 0.181667
2.45 	 -0.453823 	 -0.435807 	 0.160667
2.5 	 -0.5083 	 -0.485307 	 0.128273
2.55 	 -0.561439 	 -0.533928 	 0.0844841
2.6 	 -0.612289 	 -0.581008 	 0.0293011
2.65 	 -0.659897 	 -0.625881 	 -0.037276
2.7 	 -0.70331 	 -0.667882 	 -0.115248
2.75 	 -0.741575 	 -0.706347 	 -0.204613
2.8 	 -0.773741 	 -0.74061 	 -0.305373
2.85 	 -0.798854 	 -0.770008 	 -0.417527
2.9 	 -0.815963 	 -0.793874 	 -0.541076
2.95 	 -0.824114 	 -0.811545 	 -0.676019
3 	 -0.822356 	 -0.822356 	 -0.822356
3.05 	 -0.811601 	 -0.825854 	 -0.965413
3.1 	 -0.793967 	 -0.822435 	 -1.09052
3.15 	 -0.770306 	 -0.812709 	 -1.19767
3.2 	 -0.741472 	 -0.797285 	 -1.28687
3.25 	 -0.708317 	 -0.776772 	 -1.35811
3.3 	 -0.671694 	 -0.751778 	 -1.4114
3.35 	 -0.632456 	 -0.722912 	 -1.44674
3.4 	 -0.591455 	 -0.690784 	 -1.46413
3.45 	 -0.549545 	 -0.656002 	 -1.46356
3.5 	 -0.507579 	 -0.619176 	 -1.44504
3.55 	 -0.466408 	 -0.580913 	 -1.40857
3.6 	 -0.426886 	 -0.541824 	 -1.35414
3.65 	 -0.389867 	 -0.502517 	 -1.28176
3.7 	 -0.356202 	 -0.463601 	 -1.19143
3.75 	 -0.326744 	 -0.425685 	 -1.08314
3.8 	 -0.302346 	 -0.389377 	 -0.956903
3.85 	 -0.283862 	 -0.355288 	 -0.812711
3.9 	 -0.272143 	 -0.324025 	 -0.650565
3.95 	 -0.268044 	 -0.296198 	 -0.470467
4 	 -0.272415 	 -0.272415 	 -0.272415
4.05 	 -0.28205 	 -0.25316 	 -0.0764864
4.1 	 -0.293077 	 -0.238408 	 0.0972437
4.15 	 -0.305358 	 -0.228008 	 0.248775
4.2 	 -0.318755 	 -0.221812 	 0.378108
4.25 	 -0.333129 	 -0.219668 	 0.485242
4.3 	 -0.34834 	 -0.221425 	 0.570177
4.35 	 -0.36425 	 -0.226935 	 0.632914
4.4 	 -0.380722 	 -0.236046 	 0.673451
4.45 	 -0.397614 	 -0.248609 	 0.691791
4.5 	 -0.41479 	 -0.264472 	 0.687931
4.55 	 -0.43211 	 -0.283486 	 0.661873
4.6 	 -0.449436 	 -0.305501 	 0.613616
4.65 	 -0.466629 	 -0.330365 	 0.54316
4.7 	 -0.483549 	 -0.35793 	 0.450505
4.75 	 -0.500059 	 -0.388043 	 0.335652
4.8 	 -0.51602 	 -0.420556 	 0.1986
4.85 	 -0.531292 	 -0.455318 	 0.0393498
4.9 	 -0.545738 	 -0.492179 	 -0.1421
4.95 	 -0.559218 	 -0.530988 	 -0.345748
5 	 -0.571594 	 -0.571594 	 -0.571594
5.05 	 -0.586219 	 -0.613775 	 -0.7976
5.1 	 -0.606004 	 -0.657005 	 -1.00172
5.15 	 -0.630152 	 -0.70069 	 -1.18397
5.2 	 -0.657864 	 -0.744232 	 -1.34433
5.25 	 -0.688341 	 -0.787033 	 -1.48281
5.3 	 -0.720785 	 -0.828497 	 -1.59941
5.35 	 -0.754397 	 -0.868027 	 -1.69413
5.4 	 -0.788378 	 -0.905026 	 -1.76697
5.45 	 -0.821931 	 -0.938897 	 -1.81792
5.5 	 -0.854255 	 -0.969043 	 -1.847
5.55 	 -0.884554 	 -0.994867 	 -1.85419
5.6 	 -0.912027 	 -1.01577 	 -1.8395
5.65 	 -0.935877 	 -1.03116 	 -1.80294
5.7 	 -0.955305 	 -1.04044 	 -1.74449
5.75 	 -0.969512 	 -1.043 	 -1.66416
5.8 	 -0.9777 	 -1.03826 	 -1.56194
5.85 	 -0.97907 	 -1.02561 	 -1.43785
5.9 	 -0.972823 	 -1.00447 	 -1.29188
5.95 	 -0.958161 	 -0.974225 	 -1.12402
6 	 -0.934286 	 -0.934286 	 -0.934286
6.05 	 -0.897818 	 -0.884363 	 -0.740412
6.1 	 -0.847161 	 -0.825397 	 -0.560146
6.15 	 -0.784185 	 -0.758639 	 -0.393487
6.2 	 -0.710762 	 -0.685337 	 -0.240435
6.25 	 -0.628764 	 -0.606741 	 -0.10099
6.3 	 -0.54006 	 -0.524101 	 0.0248479
6.35 	 -0.446523 	 -0.438666 	 0.137078
6.4 	 -0.350025 	 -0.351685 	 0.235702
6.45 	 -0.252435 	 -0.264408 	 0.320718
6.5 	 -0.155627 	 -0.178084 	 0.392127
6.55 	 -0.0614704 	 -0.0939639 	 0.449929
6.6 	 0.0281628 	 -0.0132957 	 0.494124
6.65 	 0.111401 	 0.0626706 	 0.524712
6.7 	 0.186374 	 0.132686 	 0.541693
6.75 	 0.251209 	 0.1955 	 0.545066
6.8 	 0.304035 	 0.249864 	 0.534833
6.85 	 0.342981 	 0.294528 	 0.510992
6.9 	 0.366176 	 0.328243 	 0.473544
6.95 	 0.371748 	 0.349759 	 0.422489
7 	 0.357827 	 0.357827 	 0.357827
7.05 	 0.327058 	 0.351643 	 0.287392
7.1 	 0.284422 	 0.33219 	 0.21902
7.15 	 0.231544 	 0.300896 	 0.152711
7.2 	 0.17005 	 0.259188 	 0.0884642
7.25 	 0.101566 	 0.208495 	 0.02628
