# x 	 y
0 	 0
1 	 0.841471
2 	 0.909297
3 	 0.14112
4 	 -0.756802
5 	 -0.958924
6 	 -0.279415
7 	 0.656987
8 	 0.989358
9 	 0.412118
10 	 -0.544021
11 	 -0.99999
12 	 -0.536573
13 	 0.420167
14 	 0.990607
15 	 0.650288
16 	 -0.287903
17 	 -0.961397
18 	 -0.750987
19 	 0.149877


#Cubic sub-spline
# x 	 ySub 	 yCubic 	 yQuad
0 	 0 	 0 	 0
0.05 	 0.0604476 	 0.0496682 	 0.0522987
0.1 	 0.118961 	 0.0992222 	 0.103521
0.15 	 0.17554 	 0.148548 	 0.153667
0.2 	 0.230186 	 0.197531 	 0.202737
0.25 	 0.282897 	 0.246057 	 0.25073
0.3 	 0.333674 	 0.294012 	 0.297647
0.35 	 0.382517 	 0.341282 	 0.343488
0.4 	 0.429426 	 0.387752 	 0.388252
0.45 	 0.4744 	 0.433309 	 0.43194
0.5 	 0.517441 	 0.477838 	 0.474552
0.55 	 0.558548 	 0.521225 	 0.516088
0.6 	 0.59772 	 0.563356 	 0.556547
0.65 	 0.634958 	 0.604116 	 0.595929
0.7 	 0.670262 	 0.643392 	 0.634236
0.75 	 0.703632 	 0.681068 	 0.671466
0.8 	 0.735068 	 0.717032 	 0.707619
0.85 	 0.76457 	 0.751168 	 0.742697
0.9 	 0.792138 	 0.783363 	 0.776698
0.95 	 0.817771 	 0.813502 	 0.809623
1 	 0.841471 	 0.841471 	 0.841471
1.05 	 0.862459 	 0.867174 	 0.871385
1.1 	 0.880122 	 0.890583 	 0.898508
1.15 	 0.894704 	 0.911689 	 0.922838
1.2 	 0.906453 	 0.930484 	 0.944377
1.25 	 0.915613 	 0.946958 	 0.963123
1.3 	 0.922429 	 0.961102 	 0.979078
1.35 	 0.927148 	 0.972907 	 0.992241
1.4 	 0.930014 	 0.982363 	 1.00261
1.45 	 0.931274 	 0.989461 	 1.01019
1.5 	 0.931172 	 0.994193 	 1.01498
1.55 	 0.929954 	 0.996548 	 1.01697
1.6 	 0.927867 	 0.996517 	 1.01618
1.65 	 0.925154 	 0.994093 	 1.01259
1.7 	 0.922063 	 0.989264 	 1.00621
1.75 	 0.918837 	 0.982022 	 0.997037
1.8 	 0.915724 	 0.972359 	 0.985073
1.85 	 0.912967 	 0.960263 	 0.970317
1.9 	 0.910814 	 0.945728 	 0.952769
1.95 	 0.909509 	 0.928742 	 0.932429
2 	 0.909297 	 0.909297 	 0.909297
2.05 	 0.905091 	 0.887403 	 0.884076
2.1 	 0.892202 	 0.863146 	 0.857466
2.15 	 0.871476 	 0.836628 	 0.829468
2.2 	 0.843762 	 0.807955 	 0.800082
2.25 	 0.809907 	 0.777231 	 0.769308
2.3 	 0.770757 	 0.74456 	 0.737146
2.35 	 0.727159 	 0.710046 	 0.703595
2.4 	 0.679961 	 0.673793 	 0.668657
2.45 	 0.63001 	 0.635907 	 0.63233
2.5 	 0.578154 	 0.596491 	 0.594615
2.55 	 0.525238 	 0.555649 	 0.555512
2.6 	 0.47211 	 0.513485 	 0.515021
2.65 	 0.419618 	 0.470105 	 0.473142
2.7 	 0.368608 	 0.425612 	 0.429875
2.75 	 0.319928 	 0.38011 	 0.385219
2.8 	 0.274425 	 0.333703 	 0.339176
2.85 	 0.232945 	 0.286497 	 0.291744
2.9 	 0.196336 	 0.238595 	 0.242924
2.95 	 0.165446 	 0.190101 	 0.192716
3 	 0.14112 	 0.14112 	 0.14112
3.05 	 0.116347 	 0.0917588 	 0.0891995
3.1 	 0.0841381 	 0.0421364 	 0.0380185
3.15 	 0.0453808 	 -0.00762539 	 -0.0124232
3.2 	 0.000960818 	 -0.0574046 	 -0.0621254
3.25 	 -0.0482358 	 -0.107079 	 -0.111088
3.3 	 -0.101323 	 -0.156528 	 -0.159312
3.35 	 -0.157414 	 -0.205628 	 -0.206796
3.4 	 -0.215624 	 -0.254259 	 -0.25354
3.45 	 -0.275065 	 -0.302297 	 -0.299546
3.5 	 -0.334853 	 -0.349622 	 -0.344811
