# x 	 y
2 	 1.36075
3 	 -0.422468
4 	 1.1324
5 	 1.19376
6 	 1.64659
7 	 -1.20979
8 	 -0.659109
9 	 1.07292
10 	 -0.888901
11 	 0.21588
12 	 -0.0904118
13 	 0.515484
14 	 -0.540862
15 	 0.0536036
16 	 1.80892
17 	 1.66478
18 	 0.542847
19 	 0.869188
20 	 -1.43359
21 	 0.427876


# xSpline 	 ySpline 	 derivative 	 integral
2 	 1.36075 	 2.11573 	 0
2.05 	 1.45679 	 1.72583 	 0.0705197
2.1 	 1.53333 	 1.33594 	 0.145354
2.15 	 1.59038 	 0.946043 	 0.223528
2.2 	 1.62794 	 0.556149 	 0.304068
2.25 	 1.646 	 0.166254 	 0.385997
2.3 	 1.64456 	 -0.223641 	 0.468342
2.35 	 1.62363 	 -0.613535 	 0.550129
2.4 	 1.58321 	 -1.00343 	 0.630381
2.45 	 1.52329 	 -1.39332 	 0.708125
2.5 	 1.44388 	 -1.78322 	 0.782385
2.55 	 1.34497 	 -2.17311 	 0.852188
2.6 	 1.22657 	 -2.56301 	 0.916557
2.65 	 1.08867 	 -2.9529 	 0.974519
2.7 	 0.931276 	 -3.3428 	 1.0251
2.75 	 0.754389 	 -3.73269 	 1.06732
2.8 	 0.558007 	 -4.12259 	 1.10021
2.85 	 0.34213 	 -4.51248 	 1.1228
2.9 	 0.106759 	 -4.90238 	 1.1341
2.95 	 -0.148107 	 -5.29227 	 1.13315
3 	 -0.422468 	 -5.68217 	 1.11897
3.05 	 -0.688484 	 -4.95846 	 1.09104
3.1 	 -0.918315 	 -4.23476 	 1.05072
3.15 	 -1.11196 	 -3.51106 	 0.999813
3.2 	 -1.26942 	 -2.78735 	 0.940128
3.25 	 -1.3907 	 -2.06365 	 0.873474
3.3 	 -1.47579 	 -1.33995 	 0.801661
3.35 	 -1.52469 	 -0.616244 	 0.726498
3.4 	 -1.53741 	 0.107459 	 0.649795
3.45 	 -1.51394 	 0.831162 	 0.573361
3.5 	 -1.45429 	 1.55487 	 0.499004
3.55 	 -1.35846 	 2.27857 	 0.428534
3.6 	 -1.22644 	 3.00227 	 0.363761
3.65 	 -1.05823 	 3.72597 	 0.306494
3.7 	 -0.853839 	 4.44968 	 0.258541
3.75 	 -0.613263 	 5.17338 	 0.221713
3.8 	 -0.336501 	 5.89708 	 0.197818
3.85 	 -0.0235543 	 6.62079 	 0.188666
3.9 	 0.325578 	 7.34449 	 0.196066
3.95 	 0.710895 	 8.06819 	 0.221827
4 	 1.1324 	 8.7919 	 0.267758
4.05 	 1.55017 	 7.91884 	 0.335004
4.1 	 1.92428 	 7.04579 	 0.422047
4.15 	 2.25474 	 6.17274 	 0.526705
4.2 	 2.54155 	 5.29968 	 0.646794
4.25 	 2.78471 	 4.42663 	 0.780133
4.3 	 2.98422 	 3.55358 	 0.924538
4.35 	 3.14007 	 2.68052 	 1.07783
4.4 	 3.25227 	 1.80747 	 1.23782
4.45 	 3.32082 	 0.934417 	 1.40233
4.5 	 3.34571 	 0.0613632 	 1.56917
4.55 	 3.32695 	 -0.81169 	 1.73617
4.6 	 3.26454 	 -1.68474 	 1.90114
4.65 	 3.15848 	 -2.5578 	 2.0619
4.7 	 3.00876 	 -3.43085 	 2.21626
4.75 	 2.81539 	 -4.3039 	 2.36205
4.8 	 2.57837 	 -5.17696 	 2.49707
4.85 	 2.2977 	 -6.05001 	 2.61916
4.9 	 1.97337 	 -6.92306 	 2.72611
4.95 	 1.60539 	 -7.79612 	 2.81576
5 	 1.19376 	 -8.66917 	 2.88593
5.05 	 0.783107 	 -7.75697 	 2.93516
5.1 	 0.418063 	 -6.84477 	 2.965
5.15 	 0.0986297 	 -5.93257 	 2.97772
5.2 	 -0.175194 	 -5.02037 	 2.97562
5.25 	 -0.403407 	 -4.10817 	 2.96096
5.3 	 -0.586011 	 -3.19597 	 2.93604
5.35 	 -0.723004 	 -2.28377 	 2.90312
5.4 	 -0.814388 	 -1.37157 	 2.8645
5.45 	 -0.860161 	 -0.459371 	 2.82244
5.5 	 -0.860325 	 0.452829 	 2.77924
5.55 	 -0.814879 	 1.36503 	 2.73717
5.6 	 -0.723822 	 2.27723 	 2.69851
5.65 	 -0.587156 	 3.18943 	 2.66555
5.7 	 -0.404879 	 4.10163 	 2.64056
5.75 	 -0.176993 	 5.01383 	 2.62582
5.8 	 0.0965037 	 5.92603 	 2.62362
5.85 	 0.41561 	 6.83823 	 2.63623
5.9 	 0.780327 	 7.75043 	 2.66594
5.95 	 1.19065 	 8.66263 	 2.71503
6 	 1.64659 	 9.57483 	 2.78577
6.05 	 2.09425 	 8.33171 	 2.87955
6.1 	 2.47976 	 7.08859 	 2.99416
6.15 	 2.80311 	 5.84546 	 3.12649
6.2 	 3.06431 	 4.60234 	 3.27343
6.25 	 3.26335 	 3.35922 	 3.43188
6.3 	 3.40023 	 2.1161 	 3.59873
6.35 	 3.47496 	 0.87298 	 3.77087
6.4 	 3.48753 	 -0.370142 	 3.94519
6.45 	 3.43794 	 -1.61326 	 4.11859
6.5 	 3.3262 	 -2.85638 	 4.28795
6.55 	 3.1523 	 -4.09951 	 4.45017
6.6 	 2.91625 	 -5.34263 	 4.60214
6.65 	 2.61804 	 -6.58575 	 4.74076
6.7 	 2.25768 	 -7.82887 	 4.86291
6.75 	 1.83515 	 -9.07199 	 4.96549
6.8 	 1.35048 	 -10.3151 	 5.04539
6.85 	 0.803643 	 -11.5582 	 5.0995
6.9 	 0.194653 	 -12.8014 	 5.12472
6.95 	 -0.476493 	 -14.0445 	 5.11793
7 	 -1.20979 	 -15.2876 	 5.07603
7.05 	 -1.93458 	 -13.7038 	 4.99709
7.1 	 -2.58017 	 -12.1199 	 4.8839
7.15 	 -3.14657 	 -10.5361 	 4.7404
7.2 	 -3.63378 	 -8.95228 	 4.57056
7.25 	 -4.0418 	 -7.36846 	 4.37834
7.3 	 -4.37063 	 -5.78463 	 4.1677
7.35 	 -4.62026 	 -4.2008 	 3.9426
7.4 	 -4.79071 	 -2.61697 	 3.70699
7.45 	 -4.88196 	 -1.03314 	 3.46484
7.5 	 -4.89402 	 0.550686 	 3.22011
7.55 	 -4.82689 	 2.13451 	 2.97676
