# x 	 y
2 	 1.91123
3 	 -0.648586
4 	 -0.107996
5 	 -0.578722
6 	 -0.915159
7 	 0.674008
8 	 1.86014
9 	 -0.0669988
10 	 0.563423
11 	 -1.64847
12 	 -0.847385
13 	 0.519979
14 	 -1.95879
15 	 1.99559
16 	 0.763835
17 	 1.96281
18 	 -0.191304
19 	 0.27054
20 	 -1.19202
21 	 -1.7604


# xSpline 	 ySpline 	 derivative 	 integral
2 	 1.91123 	 -3.45678 	 0
2.05 	 1.7385 	 -3.45005 	 0.0912419
2.1 	 1.56645 	 -3.42987 	 0.173861
2.15 	 1.39574 	 -3.39623 	 0.247909
2.2 	 1.22705 	 -3.34914 	 0.313469
2.25 	 1.06105 	 -3.2886 	 0.370659
2.3 	 0.898414 	 -3.2146 	 0.41963
2.35 	 0.739815 	 -3.12714 	 0.460568
2.4 	 0.585924 	 -3.02623 	 0.49369
2.45 	 0.437416 	 -2.91187 	 0.51925
2.5 	 0.294961 	 -2.78406 	 0.537533
2.55 	 0.159234 	 -2.64278 	 0.548858
2.6 	 0.0309071 	 -2.48806 	 0.553579
2.65 	 -0.0893474 	 -2.31988 	 0.552083
2.7 	 -0.200857 	 -2.13824 	 0.54479
2.75 	 -0.302948 	 -1.94316 	 0.532155
2.8 	 -0.394948 	 -1.73461 	 0.514664
2.85 	 -0.476185 	 -1.51261 	 0.492839
2.9 	 -0.545985 	 -1.27716 	 0.467236
2.95 	 -0.603677 	 -1.02826 	 0.438443
3 	 -0.648586 	 -0.765895 	 0.407081
3.05 	 -0.680327 	 -0.50719 	 0.373805
3.1 	 -0.699652 	 -0.269251 	 0.339256
3.15 	 -0.707598 	 -0.052078 	 0.304029
3.2 	 -0.705206 	 0.144329 	 0.268668
3.25 	 -0.693511 	 0.319971 	 0.233663
3.3 	 -0.673555 	 0.474846 	 0.199455
3.35 	 -0.646373 	 0.608956 	 0.166428
3.4 	 -0.613005 	 0.7223 	 0.13492
3.45 	 -0.574489 	 0.814877 	 0.105214
3.5 	 -0.531863 	 0.886689 	 0.07754
3.55 	 -0.486166 	 0.937735 	 0.0520786
3.6 	 -0.438436 	 0.968015 	 0.0289572
3.65 	 -0.389711 	 0.977529 	 0.00825157
3.7 	 -0.341029 	 0.966278 	 -0.0100146
3.75 	 -0.293429 	 0.93426 	 -0.0258694
3.8 	 -0.247949 	 0.881476 	 -0.0393928
3.85 	 -0.205628 	 0.807927 	 -0.0507169
3.9 	 -0.167503 	 0.713611 	 -0.0600255
3.95 	 -0.134613 	 0.59853 	 -0.0675545
4 	 -0.107996 	 0.462683 	 -0.0735914
4.05 	 -0.0884512 	 0.320419 	 -0.0784729
4.1 	 -0.0758216 	 0.186089 	 -0.0825517
4.15 	 -0.0697101 	 0.0596926 	 -0.0861637
4.2 	 -0.0697201 	 -0.0587708 	 -0.0896248
4.25 	 -0.0754549 	 -0.169301 	 -0.0932311
4.3 	 -0.086518 	 -0.271897 	 -0.0972591
4.35 	 -0.102512 	 -0.36656 	 -0.101965
4.4 	 -0.123042 	 -0.45329 	 -0.107586
4.45 	 -0.147709 	 -0.532087 	 -0.114338
4.5 	 -0.176118 	 -0.60295 	 -0.122419
4.55 	 -0.207872 	 -0.665879 	 -0.132006
4.6 	 -0.242574 	 -0.720876 	 -0.143256
4.65 	 -0.279827 	 -0.767938 	 -0.156306
4.7 	 -0.319236 	 -0.807068 	 -0.171274
4.75 	 -0.360402 	 -0.838264 	 -0.188259
4.8 	 -0.40293 	 -0.861527 	 -0.207337
4.85 	 -0.446422 	 -0.876856 	 -0.228568
4.9 	 -0.490483 	 -0.884252 	 -0.251989
4.95 	 -0.534715 	 -0.883715 	 -0.277619
5 	 -0.578722 	 -0.875244 	 -0.305457
5.05 	 -0.622122 	 -0.859698 	 -0.335481
5.1 	 -0.664589 	 -0.837936 	 -0.367653
5.15 	 -0.705812 	 -0.809957 	 -0.401919
5.2 	 -0.745481 	 -0.775762 	 -0.438208
5.25 	 -0.783284 	 -0.73535 	 -0.476436
5.3 	 -0.818912 	 -0.688722 	 -0.516501
5.35 	 -0.852053 	 -0.635877 	 -0.558286
5.4 	 -0.882396 	 -0.576816 	 -0.601659
5.45 	 -0.909631 	 -0.511539 	 -0.646474
5.5 	 -0.933446 	 -0.440045 	 -0.692565
