# x 	 y 	 dy
0.1 	12.6 	0.858 
0.145 	9.23 	0.359 
0.211 	7.38 	0.505 
0.307 	6.46 	0.403 
0.447 	5.55 	0.683 
0.649 	5.9 	0.605 
0.944 	5.67 	0.856 
1.37 	6.96 	0.351 
2 	8.9 	1.08 
2.9 	11.4 	1 


# xFit 	 yFit
0.05 	 21.9327
0.1 	 12.2728
0.15 	 9.15359
0.2 	 7.66955
0.25 	 6.83959
0.3 	 6.33666
0.35 	 6.0206
0.4 	 5.82134
0.45 	 5.69995
0.5 	 5.63306
0.55 	 5.60582
0.6 	 5.6083
0.65 	 5.63366
0.7 	 5.67698
0.75 	 5.73468
0.8 	 5.80406
0.85 	 5.88305
0.9 	 5.97006
0.95 	 6.06383
1 	 6.16333
1.05 	 6.26774
1.1 	 6.37641
1.15 	 6.48876
1.2 	 6.60435
1.25 	 6.72279
1.3 	 6.84374
1.35 	 6.96692
1.4 	 7.0921
1.45 	 7.21907
1.5 	 7.34765
1.55 	 7.47769
1.6 	 7.60905
1.65 	 7.7416
1.7 	 7.87525
1.75 	 8.0099
1.8 	 8.14546
1.85 	 8.28187
1.9 	 8.41905
1.95 	 8.55694
2 	 8.6955
2.05 	 8.83467
2.1 	 8.97441
2.15 	 9.11469
2.2 	 9.25545
2.25 	 9.39668
2.3 	 9.53834
2.35 	 9.6804
2.4 	 9.82283
2.45 	 9.96563
2.5 	 10.1088
2.55 	 10.2522
2.6 	 10.3959
2.65 	 10.54
2.7 	 10.6842
2.75 	 10.8288
2.8 	 10.9735
2.85 	 11.1185
2.9 	 11.2637
2.95 	 11.4091
