# x 	 y 	 dy
0.1 	12.6 	0.858 
0.145 	9.23 	0.359 
0.211 	7.38 	0.505 
0.307 	6.46 	0.403 
0.447 	5.55 	0.683 
0.649 	5.9 	0.605 
0.944 	5.67 	0.856 
1.37 	6.96 	0.351 
2 	8.9 	1.08 
2.9 	11.4 	1 


# xFit 	 yFit 	 +Error 	 -Error
0.05 	 21.9327 	 22.8758 	 20.9896
0.1 	 12.2728 	 12.8419 	 11.7037
0.15 	 9.15359 	 9.60404 	 8.70314
0.2 	 7.66955 	 8.06518 	 7.27393
0.25 	 6.83959 	 7.20593 	 6.47325
0.3 	 6.33666 	 6.68647 	 5.98684
0.35 	 6.0206 	 6.36119 	 5.68001
0.4 	 5.82134 	 6.15727 	 5.48542
0.45 	 5.69995 	 6.03425 	 5.36565
0.5 	 5.63306 	 5.96786 	 5.29826
0.55 	 5.60582 	 5.94267 	 5.26897
0.6 	 5.6083 	 5.94836 	 5.26824
0.65 	 5.63366 	 5.97782 	 5.28949
0.7 	 5.67698 	 6.02594 	 5.32801
0.75 	 5.73468 	 6.08901 	 5.38035
0.8 	 5.80406 	 6.16421 	 5.4439
0.85 	 5.88305 	 6.2494 	 5.5167
0.9 	 5.97006 	 6.34292 	 5.59721
0.95 	 6.06383 	 6.44346 	 5.68419
1 	 6.16333 	 6.54995 	 5.7767
1.05 	 6.26774 	 6.66156 	 5.87392
1.1 	 6.37641 	 6.77758 	 5.97523
1.15 	 6.48876 	 6.89744 	 6.08009
1.2 	 6.60435 	 7.02065 	 6.18806
1.25 	 6.72279 	 7.14682 	 6.29875
1.3 	 6.84374 	 7.2756 	 6.41187
1.35 	 6.96692 	 7.40671 	 6.52713
1.4 	 7.0921 	 7.53989 	 6.64431
1.45 	 7.21907 	 7.67493 	 6.76321
1.5 	 7.34765 	 7.81165 	 6.88366
1.55 	 7.47769 	 7.94987 	 7.00551
1.6 	 7.60905 	 8.08947 	 7.12863
1.65 	 7.7416 	 8.23031 	 7.25289
1.7 	 7.87525 	 8.37229 	 7.37821
1.75 	 8.0099 	 8.51531 	 7.50449
1.8 	 8.14546 	 8.65927 	 7.63165
1.85 	 8.28187 	 8.80412 	 7.75962
1.9 	 8.41905 	 8.94977 	 7.88833
1.95 	 8.55694 	 9.09616 	 8.01773
2 	 8.6955 	 9.24324 	 8.14776
2.05 	 8.83467 	 9.39096 	 8.27839
2.1 	 8.97441 	 9.53927 	 8.40956
2.15 	 9.11469 	 9.68813 	 8.54125
2.2 	 9.25545 	 9.8375 	 8.6734
2.25 	 9.39668 	 9.98735 	 8.806
2.3 	 9.53834 	 10.1377 	 8.93902
2.35 	 9.6804 	 10.2884 	 9.07242
2.4 	 9.82283 	 10.4395 	 9.20619
2.45 	 9.96563 	 10.591 	 9.34029
2.5 	 10.1088 	 10.7428 	 9.47472
2.55 	 10.2522 	 10.8949 	 9.60945
2.6 	 10.3959 	 11.0474 	 9.74446
2.65 	 10.54 	 11.2002 	 9.87974
2.7 	 10.6842 	 11.3532 	 10.0153
2.75 	 10.8288 	 11.5065 	 10.1511
2.8 	 10.9735 	 11.66 	 10.2871
2.85 	 11.1185 	 11.8138 	 10.4233
2.9 	 11.2637 	 11.9677 	 10.5597
2.95 	 11.4091 	 12.1219 	 10.6963
