# x 	 y 	 dy
0.1 	12.6 	0.858 
0.145 	9.23 	0.359 
0.211 	7.38 	0.505 
0.307 	6.46 	0.403 
0.447 	5.55 	0.683 
0.649 	5.9 	0.605 
0.944 	5.67 	0.856 
1.37 	6.96 	0.351 
2 	8.9 	1.08 
2.9 	11.4 	1 


# xFit 	 yFit 	 +Error 	 -Error
0.05 	 21.9327 	 22.4771 	 21.3883
0.1 	 12.2728 	 12.7318 	 11.8138
0.15 	 9.15359 	 9.58949 	 8.71769
0.2 	 7.66955 	 8.0979 	 7.2412
0.25 	 6.83959 	 7.26661 	 6.41257
0.3 	 6.33666 	 6.76546 	 5.90785
0.35 	 6.0206 	 6.45297 	 5.58823
0.4 	 5.82134 	 6.25838 	 5.3843
0.45 	 5.69995 	 6.1424 	 5.2575
0.5 	 5.63306 	 6.08145 	 5.18468
0.55 	 5.60582 	 6.06051 	 5.15112
0.6 	 5.6083 	 6.06959 	 5.14701
0.65 	 5.63366 	 6.10175 	 5.16556
0.7 	 5.67698 	 6.15206 	 5.2019
0.75 	 5.73468 	 6.21688 	 5.25248
0.8 	 5.80406 	 6.29348 	 5.31463
0.85 	 5.88305 	 6.3798 	 5.3863
0.9 	 5.97006 	 6.47421 	 5.46592
0.95 	 6.06383 	 6.57543 	 5.55222
1 	 6.16333 	 6.68245 	 5.6442
1.05 	 6.26774 	 6.79443 	 5.74106
1.1 	 6.37641 	 6.91069 	 5.84212
1.15 	 6.48876 	 7.03069 	 5.94684
1.2 	 6.60435 	 7.15395 	 6.05476
1.25 	 6.72279 	 7.28008 	 6.1655
1.3 	 6.84374 	 7.40875 	 6.27872
1.35 	 6.96692 	 7.53967 	 6.39417
1.4 	 7.0921 	 7.67261 	 6.51159
1.45 	 7.21907 	 7.80736 	 6.63078
1.5 	 7.34765 	 7.94374 	 6.75157
1.55 	 7.47769 	 8.08158 	 6.8738
1.6 	 7.60905 	 8.22076 	 6.99734
1.65 	 7.7416 	 8.36114 	 7.12207
1.7 	 7.87525 	 8.50263 	 7.24787
1.75 	 8.0099 	 8.64513 	 7.37467
1.8 	 8.14546 	 8.78855 	 7.50237
1.85 	 8.28187 	 8.93282 	 7.63091
1.9 	 8.41905 	 9.07788 	 7.76022
1.95 	 8.55694 	 9.22365 	 7.89023
2 	 8.6955 	 9.3701 	 8.0209
2.05 	 8.83467 	 9.51717 	 8.15218
2.1 	 8.97441 	 9.66481 	 8.28402
2.15 	 9.11469 	 9.81298 	 8.41639
2.2 	 9.25545 	 9.96165 	 8.54925
2.25 	 9.39668 	 10.1108 	 8.68256
2.3 	 9.53834 	 10.2604 	 8.8163
2.35 	 9.6804 	 10.4103 	 8.95044
2.4 	 9.82283 	 10.5607 	 9.08496
2.45 	 9.96563 	 10.7114 	 9.21982
2.5 	 10.1088 	 10.8625 	 9.35502
2.55 	 10.2522 	 11.0139 	 9.49053
2.6 	 10.3959 	 11.1655 	 9.62633
2.65 	 10.54 	 11.3175 	 9.7624
2.7 	 10.6842 	 11.4697 	 9.89874
2.75 	 10.8288 	 11.6222 	 10.0353
2.8 	 10.9735 	 11.7749 	 10.1721
2.85 	 11.1185 	 11.9278 	 10.3092
2.9 	 11.2637 	 12.081 	 10.4464
2.95 	 11.4091 	 12.2344 	 10.5839
